timestamp,lat,lon
47.62,40.755938,-74.14621
48.12,40.756151,-74.145934
48.62,40.756364,-74.145658
49.12,40.756577,-74.145382
49.62,40.75679,-74.145107
50.13,40.757003,-74.144831
50.63,40.757216,-74.144555
51.13,40.757429,-74.14428
51.63,40.757642,-74.144004
52.13,40.757855,-74.143728
52.63,40.758068,-74.143453
53.13,40.758281,-74.143177
53.63,40.758494,-74.142901
54.14,40.758708,-74.142626
54.64,40.758921,-74.14235
55.14,40.759134,-74.142074
55.64,40.759347,-74.141798
56.14,40.75956,-74.141523
56.64,40.759773,-74.141247
57.14,40.759986,-74.140971
57.64,40.760199,-74.140696
58.15,40.760412,-74.14042
58.65,40.760625,-74.140144
59.15,40.760838,-74.139869
59.65,40.761051,-74.139593
60.15,40.761264,-74.139317
60.65,40.761477,-74.139042
61.15,40.76169,-74.138766
61.65,40.761903,-74.13849
62.16,40.762116,-74.138215
62.66,40.762329,-74.137939
63.16,40.762542,-74.137663
63.66,40.762755,-74.137387
64.16,40.762968,-74.137112
64.66,40.763181,-74.136836
65.16,40.763394,-74.13656
65.66,40.763607,-74.136285
66.17,40.76382,-74.136009
66.67,40.764033,-74.135733
67.17,40.764246,-74.135458
67.67,40.764459,-74.135182
68.17,40.764672,-74.134906
68.67,40.764885,-74.134631
69.17,40.765098,-74.134355
69.67,40.765312,-74.134079
70.18,40.765525,-74.133804
70.68,40.765738,-74.133528
71.18,40.765951,-74.133252
71.68,40.766164,-74.132976
72.18,40.766377,-74.132701
72.68,40.76659,-74.132425
73.18,40.766803,-74.132149
73.68,40.767016,-74.131874
74.19,40.767229,-74.131598
74.69,40.767442,-74.131322
75.19,40.767655,-74.131047
75.69,40.767868,-74.130771
76.19,40.768081,-74.130495
76.69,40.768294,-74.13022
77.19,40.768507,-74.129944
77.69,40.76872,-74.129668
78.2,40.768933,-74.129392
78.7,40.769146,-74.129117
79.2,40.769359,-74.128841
79.7,40.769572,-74.128565
80.2,40.769785,-74.12829
80.7,40.769998,-74.128014
81.2,40.770211,-74.127738
81.7,40.770424,-74.127463
82.21,40.770637,-74.127187
82.71,40.77085,-74.126911
83.21,40.771063,-74.126636
83.71,40.771276,-74.12636
84.21,40.771489,-74.126084
84.71,40.771703,-74.125809
85.21,40.771916,-74.125533
85.71,40.772129,-74.125257
86.22,40.772342,-74.124981
86.72,40.772555,-74.124706
87.22,40.772768,-74.12443
87.72,40.772981,-74.124154
88.22,40.773194,-74.123879
88.72,40.773407,-74.123603
89.22,40.77362,-74.123327
89.72,40.773833,-74.123052
90.23,40.774046,-74.122776
90.73,40.774259,-74.1225
91.23,40.774472,-74.122225
91.73,40.774685,-74.121949
92.23,40.774898,-74.121673
92.73,40.775111,-74.121397
93.23,40.775324,-74.121122
93.73,40.775537,-74.120846
94.24,40.77575,-74.12057
94.74,40.775963,-74.120295
95.24,40.776176,-74.120019
95.74,40.776389,-74.119743
96.24,40.776602,-74.119468
96.74,40.776815,-74.119192
97.24,40.777028,-74.118916
97.74,40.777241,-74.118641
98.25,40.777454,-74.118365
98.75,40.777667,-74.118089
99.25,40.77788,-74.117814
99.75,40.778093,-74.117538
100.25,40.778307,-74.117262
100.75,40.77852,-74.116986
101.25,40.778733,-74.116711
101.75,40.778946,-74.116435
102.26,40.779159,-74.116159
102.76,40.779372,-74.115884
103.26,40.779585,-74.115608
103.76,40.779798,-74.115332
104.26,40.780011,-74.115057
104.76,40.780224,-74.114781
105.26,40.780437,-74.114505
105.76,40.78065,-74.11423
106.27,40.780863,-74.113954
106.77,40.781076,-74.113678
107.27,40.781289,-74.113403
107.77,40.781502,-74.113127
108.27,40.781715,-74.112851
108.77,40.781928,-74.112575
109.27,40.782141,-74.1123
109.77,40.782354,-74.112024
110.28,40.782567,-74.111748
110.78,40.78278,-74.111473
111.28,40.782993,-74.111197
111.78,40.783206,-74.110921
112.28,40.783419,-74.110646
112.78,40.783632,-74.11037
113.28,40.783845,-74.110094
113.78,40.784058,-74.109819
114.29,40.784271,-74.109543
114.79,40.784484,-74.109267
115.29,40.784697,-74.108991
115.79,40.784911,-74.108716
116.29,40.785124,-74.10844
116.79,40.785337,-74.108164
117.29,40.78555,-74.107889
117.79,40.785763,-74.107613
118.3,40.785976,-74.107337
118.8,40.786189,-74.107062
119.3,40.786402,-74.106786
119.8,40.786615,-74.10651
120.3,40.786828,-74.106235
120.8,40.787041,-74.105959
121.3,40.787254,-74.105683
121.8,40.787467,-74.105408
122.31,40.78768,-74.105132
122.81,40.787893,-74.104856
123.31,40.788106,-74.10458
123.81,40.788319,-74.104305
124.31,40.788532,-74.104029
124.81,40.788745,-74.103753
125.31,40.788958,-74.103478
125.81,40.789171,-74.103202
126.32,40.789384,-74.102926
126.82,40.789597,-74.102651
127.32,40.78981,-74.102375
127.82,40.790023,-74.102099
128.32,40.790236,-74.101824
128.82,40.790449,-74.101548
129.32,40.790662,-74.101272
129.82,40.790875,-74.100996
130.33,40.791088,-74.100721
130.83,40.791302,-74.100445
131.33,40.791515,-74.100169
131.83,40.791728,-74.099894
132.33,40.791941,-74.099618
132.83,40.792154,-74.099342
133.33,40.792367,-74.099067
133.83,40.79258,-74.098791
134.34,40.792793,-74.098515
134.84,40.793006,-74.09824
135.34,40.793219,-74.097964
135.84,40.793432,-74.097688
136.34,40.793645,-74.097413
136.84,40.793858,-74.097137
137.34,40.794071,-74.096861
137.84,40.794284,-74.096585
138.35,40.794497,-74.09631
138.85,40.79471,-74.096034
139.35,40.794923,-74.095758
139.85,40.795136,-74.095483
140.35,40.795349,-74.095207
140.85,40.795562,-74.094931
141.35,40.795775,-74.094656
141.85,40.795988,-74.09438
142.36,40.796201,-74.094104
142.86,40.796414,-74.093829
143.36,40.796627,-74.093553
143.86,40.79684,-74.093277
144.36,40.797053,-74.093002
144.86,40.797266,-74.092726
145.36,40.797479,-74.09245
145.86,40.797692,-74.092174
146.37,40.797906,-74.091899
146.87,40.798119,-74.091623
147.37,40.798332,-74.091347
147.87,40.798545,-74.091072
148.37,40.798758,-74.090796
148.87,40.798971,-74.09052
149.37,40.799184,-74.090245
149.87,40.799397,-74.089969
150.38,40.79961,-74.089693
150.88,40.799823,-74.089418
151.38,40.800036,-74.089142
151.88,40.800249,-74.088866
152.38,40.800462,-74.08859
152.88,40.800675,-74.088315
153.38,40.800888,-74.088039
153.88,40.801101,-74.087763
154.39,40.801314,-74.087488
154.89,40.801527,-74.087212
155.39,40.80174,-74.086936
155.89,40.801953,-74.086661
156.39,40.802166,-74.086385
156.89,40.802379,-74.086109
157.39,40.802592,-74.085834
157.89,40.802805,-74.085558
158.4,40.803018,-74.085282
158.9,40.803231,-74.085007
159.4,40.803444,-74.084731
159.9,40.803657,-74.084455
160.4,40.80387,-74.084179
160.9,40.804083,-74.083904
161.4,40.804296,-74.083628
161.9,40.80451,-74.083352
162.41,40.804723,-74.083077
162.91,40.804936,-74.082801
163.41,40.805149,-74.082525
163.91,40.805362,-74.08225
164.41,40.805575,-74.081974
164.91,40.805788,-74.081698
165.41,40.806001,-74.081423
165.91,40.806214,-74.081147
166.42,40.806427,-74.080871
166.92,40.80664,-74.080595
167.42,40.806853,-74.08032
167.92,40.807066,-74.080044
168.42,40.807279,-74.079768
168.92,40.807492,-74.079493
169.42,40.807705,-74.079217
169.92,40.807918,-74.078941
170.43,40.808131,-74.078666
170.93,40.808344,-74.07839
171.43,40.808557,-74.078114
171.93,40.80877,-74.077839
172.43,40.808983,-74.077563
172.93,40.809196,-74.077287
173.43,40.809409,-74.077012
173.93,40.809622,-74.076736
174.44,40.809835,-74.07646
174.94,40.810048,-74.076184
175.44,40.810261,-74.075909
175.94,40.810474,-74.075633
176.44,40.810687,-74.075357
176.94,40.810901,-74.075082
177.44,40.811114,-74.074806
177.94,40.811327,-74.07453
178.45,40.81154,-74.074255
178.95,40.811753,-74.073979
179.45,40.811966,-74.073703
179.95,40.812179,-74.073428
180.45,40.812392,-74.073152
180.95,40.812605,-74.072876
181.45,40.812818,-74.072601
181.95,40.813031,-74.072325
182.46,40.813244,-74.072049
182.96,40.813457,-74.071773
183.46,40.81367,-74.071498
183.96,40.813883,-74.071222
184.46,40.814096,-74.070946
184.96,40.814309,-74.070671
185.46,40.814522,-74.070395
185.96,40.814735,-74.070119
186.47,40.814948,-74.069844
186.97,40.815161,-74.069568
187.47,40.815374,-74.069292
187.97,40.815587,-74.069017
188.47,40.8158,-74.068741
188.97,40.816013,-74.068465
189.47,40.816226,-74.068189
189.97,40.816439,-74.067914
190.48,40.816652,-74.067638
190.98,40.816865,-74.067362
191.48,40.817078,-74.067087
191.98,40.817291,-74.066811
192.48,40.817505,-74.066535
192.98,40.817718,-74.06626
193.48,40.817931,-74.065984
193.98,40.818144,-74.065708
194.49,40.818357,-74.065433
194.99,40.81857,-74.065157
195.49,40.818783,-74.064881
195.99,40.818996,-74.064606
196.49,40.819209,-74.06433
196.99,40.819422,-74.064054
197.49,40.819635,-74.063778
197.99,40.819848,-74.063503
198.5,40.820061,-74.063227
199.0,40.820274,-74.062951
199.5,40.820487,-74.062676
200.0,40.8207,-74.0624
